Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Direcciones totales,Direcciones con saldo,Direcciones con saldo cero,Direcciones activas diarias,Nuevas direcciones financiadas,Ratio de direcciones activas,Saldo medio en USD,Saldo medio en USD - Divisa
TOKEN,TokenFi,621,30809609.679301,USD,,,,,,,,
TRUMP,MAGA,622,32114550.82144,USD,,,,,,,,
VADER,VaderAI by Virtuals,623,32754853.876206003,USD,,,,,,,,
GHST,Aavegotchi,624,30784144.26654251,USD,39276,6958,7,37,3,0.5317620005748779,4559.71,USD
BGSC,BugsCoin,625,30616784.999999996,USD,,,,,,,,
MOB,MobileCoin,626,30367062.21462,USD,,,,,,,,
AHT,AhaToken,627,30162673.71114091,USD,,,,,,,,
BOBO,BOBO,628,31142048.482854176,USD,,,,,,,,
EWT,Energy Web Token,629,30806175.9155,USD,,,,,,,,
XION,XION,630,29692277.1461,USD,,,,,,,,
SBD,Steem Dollars,631,29790902.205173198,USD,,,,,,,,
ALCH,Alchemist AI,632,29544299.999999996,USD,,,,,,,,
LOCUS,Locus Chain,633,30085924.71668247,USD,,,,,,,,
SWELL,Swell Network,634,29318325.017642222,USD,,,,,,,,
POLIS,Star Atlas DAO,635,29257804.525114533,USD,,,,,,,,
DEXT,DEXTools,636,29628808.533383194,USD,,,,,,,,
AMPL,Ampleforth,637,28858361.89284,USD,122673,97143,13,125,10,0.12867628135840978,6269.38,USD
ZKL,zkLink,638,29621788.705110002,USD,,,,,,,,
BOBA,Boba Network,639,29128064.631279204,USD,49142,11937,15,77,16,0.6450531959453799,7168.83,USD
DIMO,DIMO,640,28529182.771372057,USD,,,,,,,,
WAN,Wanchain,641,28779006.347102538,USD,15225,13898,0,0,0,0,2471.83,USD
VRTX,Vertex Protocol,642,28646754.530498978,USD,,,,,,,,
ALEX,ALEX Lab,643,28500172.314081598,USD,,,,,,,,
NULS,NULS,644,28723231.32272764,USD,16198,2405,0,0,0,0,4392.11,USD
HAI,Hacken Token,645,28793790.340272002,USD,,,,,,,,
SIGMA,SIGMA,646,28311055.6200667,USD,,,,,,,,
REKT,Rekt,647,28760623.617536657,USD,,,,,,,,
NUM,Numbers Protocol,648,28214471.506596,USD,,,,,,,,
VIC,Viction,649,27620972.5785,USD,,,,,,,,
VRA,Verasity,650,28036679.6493446,USD,26105,7817,0,0,0,0,10072.67,USD
GRND,SuperWalk,651,29693383.238881346,USD,,,,,,,,
FLM,Flamingo,652,27518667.704794206,USD,,,,,,,,
FIS,StaFi,653,27273127.87634,USD,,,,,,,,
KMD,Komodo,654,27217965.975199997,USD,,,,,,,,
DATA,Streamr,655,27131533.815692,USD,15155,4943,8,33,5,0.6676107626947198,0,USD
WXT,Wirex Token,656,26769000,USD,,,,,,,,
SIDUS,SIDUS,657,27031705.10760621,USD,,,,,,,,
CORE,cVault.finance,658,26603600,USD,20482,3229,0,2,1,0.06193868070610096,15027.52,USD
MDT,Measurable Data Token,659,26499269.476887498,USD,44021,26660,5,47,7,0.17629407351837958,1505.15,USD
XPRT,Persistence One,660,26267851.853074,USD,,,,,,,,
MICHI,michi (SOL),661,25775913.38114664,USD,,,,,,,,
COS,Contentos,662,26336786.9503572,USD,16705,4098,3,11,1,0.26842362127867253,8735.81,USD
TARA,Taraxa,663,26423915.54789,USD,,,,,,,,
QUACK,RichQUACK.com,664,24999385.200120807,USD,,,,,,,,
OL,Open Loot,665,24778716.21590793,USD,,,,,,,,
TPT,TokenPocket,666,25569283.073880002,USD,,,,,,,,
ROOT,The Root Network,667,26210600.44974,USD,,,,,,,,
BETA,Beta Finance,668,25492698.473557,USD,,,,,,,,
TET,Tectum,669,25037556.144098997,USD,,,,,,,,
SLND,Solend,670,24861674.783600736,USD,,,,,,,,
DADDY,Daddy Tate,671,24171728.738821365,USD,,,,,,,,
NPT,Neopin,672,24496411.514650002,USD,,,,,,,,
DIONE,Dione Protocol,673,24312535.65941418,USD,,,,,,,,
SUKU,Suku,674,24999790.32043828,USD,,,,,,,,
AIDOGE,ArbDoge AI,675,23685877.126757827,USD,,,,,,,,
WHY,WHY,676,23969400,USD,,,,,,,,
BOSON,Boson Protocol,677,24409996.354945302,USD,,,,,,,,
EVER,Everscale,678,23927543.481581997,USD,,,,,,,,
MATH,MATH,679,23738052.5314232,USD,,,,,,,,
MASA,Masa,680,23894107.288407,USD,,,,,,,,
KIN,Kin,681,23541107.31445488,USD,,,,,,,,
OORT,OORT,682,23547533.632822778,USD,,,,,,,,
BSW,Biswap,683,23545876.685355,USD,,,,,,,,
LOKA,League of Kingdoms Arena,684,23530589.79070829,USD,,,,,,,,
FARM,Harvest Finance,685,23395345.002065964,USD,50910,14662,1,34,4,0.23189196562542627,1570.59,USD
KLV,Klever,686,23315600.879631564,USD,,,,,,,,
CHESS,Tranchess,687,23302256.69766,USD,,,,,,,,
NXRA,Nexera,688,22982680.596526008,USD,,,,,,,,
VOXEL,Voxies,689,23318814.93847322,USD,,,,,,,,
HTR,Hathor,690,21969686.91394078,USD,,,,,,,,
KEKIUS,Kekius Maximus,691,22915000,USD,,,,,,,,
KISHU,Kishu Inu,692,22533347.337487143,USD,310250,310216,0,118,30,0.038038012223740876,116.41,USD
LOOKS,LooksRare,693,22750672.944096003,USD,268822,70613,28,110,14,0.15577868097942307,355.4,USD
LUNA,Luna by Virtuals,694,22030000,USD,,,,,,,,
ALEPH,Aleph.im,695,22744037.136840697,USD,,,,,,,,
MYRO,Myro,696,21810163.922685,USD,,,,,,,,
RBN,Ribbon Finance,697,21864425.127996054,USD,26743,4600,4,35,5,0.7608695652173914,54219,USD
MNGO,Mango,698,21678873.648497242,USD,,,,,,,,
ELIZA,Eliza (elizawakesup),699,23207873.709289208,USD,,,,,,,,
GAFI,GameFi.org,700,22295093.7033636,USD,,,,,,,,
GFAL,Games for a living,701,21650481.488506753,USD,,,,,,,,
HOPR,HOPR,702,21237387.511624,USD,,,,,,,,
ASD,ASD,703,21246708.442388,USD,,,,,,,,
CLANKER,tokenbot,704,22765000,USD,,,,,,,,
REN,Ren,705,21293733.875551097,USD,255711,61567,24,110,20,0.17866714311238163,368.16,USD
KOMA,Koma Inu,706,20918745.564408075,USD,,,,,,,,
ADX,AdEx,707,20579855.86720336,USD,52887,11773,0,0,0,0,1585.64,USD
SIX,SIX,708,20690402.158603564,USD,,,,,,,,
CEEK,CEEK VR,709,20009195.329782024,USD,40619,23023,3,16,1,0.06949572166963472,1112.8,USD
PROPC,Propchain,710,20604624.398826282,USD,,,,,,,,
HEGIC,Hegic,711,21025262.011924423,USD,30461,7131,8,34,2,0.4767914738465853,12416.73,USD
BLUE,Bluefin,712,20238334.00992,USD,,,,,,,,
LINA,Linear Finance,713,20269780.75509319,USD,,,,,,,,
BLZ,Bluzelle,714,19772343.76671141,USD,79399,,9,,14,0.2893204585729268,737.73,USD
SHPING,SHPING,715,20002564.935608,USD,,,,,,,,
LEASH,Doge Killer,716,20262646.052475877,USD,104237,27070,21,152,20,0.5615072035463613,760.55,USD
NEIRO,Neiro Ethereum,717,19578000,USD,,,,,,,,
QUICK,Quickswap[New],718,19846956.361323345,USD,,4947,,10,,,,
GROK,GROK,719,19901426.377963796,USD,,,,,,,,
SLF,Self Chain,720,19773450,USD,,,,,,,,
FIO,FIO Protocol,721,19326880.481868073,USD,,,,,,,,
OPUL,Opulous,722,19194658.29772631,USD,,,,,,,,
BIFI,Beefy,723,19211200,USD,,,,,,,,
PORK,PepeFork,724,18502911.90759493,USD,,,,,,,,
COMBO,COMBO,725,19010605.69488,USD,,13965,,0,,,,
FIRO,Firo,726,18740431.72326652,USD,,,,,,,,
GEMS,Gems,727,18832362.019093,USD,,,,,,,,
PROS,Prosper,728,18374160.31065,USD,,,,,,,,
FOX,Shapeshift FOX Token,729,18687611.572938003,USD,,,,,,,,
MANEKI,MANEKI,730,18354478.0399311,USD,,,,,,,,
CHEQ,cheqd,731,18293697.921494998,USD,,,,,,,,
GOG,Guild of Guardians,732,18075543.382249057,USD,,,,,,,,
SUSD,sUSD,733,17909714.163418297,USD,14163,8173,0,0,0,0,803.17,USD
PIVX,PIVX,734,18009813.36851083,USD,,,,,,,,
WING,Wing Finance,735,17854061.27995934,USD,,,,,,,,
VVAIFU,Dasha,736,17091515.029375322,USD,,,,,,,,
UFT,UniLend,737,17524598.328067295,USD,21720,5453,4,21,0,0.38510911424903727,3720.06,USD
SANTOS,Santos FC Fan Token,738,17611942.213846974,USD,,,,,,,,
QTCON,Quiztok,739,17077793.578317393,USD,,,,,,,,
SAMO,Samoyedcoin,740,16974955.3420272,USD,,,,,,,,
DLC,Diamond Launch,741,16611381.67952,USD,,,,,,,,
VIDT,VIDT DAO,742,16570137.000535998,USD,,6063,,0,,,,
PROPS,Propbase,743,15821038.886297148,USD,,,,,,,,
BURGER,BurgerCities,744,16435304.282432105,USD,,,,,,,,
VLX,Velas,745,16372205.764814515,USD,,,,,,,,
MAJOR,Major,746,16281563.21512,USD,,,,,,,,
PSG,Paris Saint-Germain Fan Token,747,16270785.371700002,USD,,,,,,,,
ALPACA,Alpaca Finance,748,16147385.540360533,USD,,,,,,,,
CREAM,Cream Finance,749,15973327.106100002,USD,34251,8490,17,82,13,0.9658421672555949,10653.67,USD
KRL,Kryll,750,15979129.338171849,USD,32683,13831,3,29,1,0.20967392090232087,1494.15,USD
PSP,ParaSwap,751,16624159.724335002,USD,28829,4714,9,45,3,0.9546033092914722,8821.69,USD
BZZ,Swarm,752,15182128.756850313,USD,,,,,,,,
PDA,PlayDapp,753,15549984.86643,USD,,,,,,,,
SWAP,TrustSwap,754,14978275.61556,USD,71409,17253,14,62,3,0.3593577928476207,888.27,USD
VXV,Vectorspace AI,755,15861532.280517912,USD,,,,,,,,
HARD,Kava Lend,756,15341987.65176,USD,,,,,,,,
OG,OG Fan Token,757,15158041.6509,USD,,,,,,,,
PNK,Kleros,758,15240202.262883715,USD,,,,,,,,
OBSR,Observer,759,15121742.944683101,USD,,,,,,,,
MEMEFI,MemeFi,760,14901999.999999998,USD,,,,,,,,
VINU,Vita Inu,761,14781283.93653137,USD,,,,,,,,
WNCG,Nine Chronicles,762,14408145.825252842,USD,,,,,,,,
DMTR,Dimitra,763,14550337.152704064,USD,,,,,,,,
TROY,TROY,764,14883000,USD,,,,,,,,
SQGROW,Squid Grow,765,14791000,USD,,,,,,,,
AMB,AirDAO,766,14768468.9931845,USD,,,,,,,,
VOLT,Volt Inu,767,14739798.521620458,USD,,,,,,,,
BAR,FC Barcelona Fan Token,768,14549002.728600001,USD,,,,,,,,
VAI,VAIOT,769,14530950.05999,USD,,,,,,,,
MUMU,Mumu the Bull,770,14152442.578681523,USD,,,,,,,,
SOV,Sovryn,771,13942215.911304025,USD,,,,,,,,
NIM,Nimiq,772,13618297.837437958,USD,,,,,,,,
AST,AirSwap,773,13658432.358782262,USD,60994,13376,8,62,16,0.4635167464114832,2776.11,USD
DEAI,Zero1 Labs,774,13396751.89384,USD,,,,,,,,
GYEN,GYEN,775,13360838.782878,USD,,,,,,,,
MAVIA,Heroes of Mavia,776,13429115.0477,USD,,,,,,,,
VIB,Viberate,777,13314467.129999999,USD,30874,10113,9,30,10,0.29664787896766537,16.96,USD
CGO,Comtech Gold,778,12748938,USD,,,,,,,,
GAL,Galxe,779,14847354.215258824,USD,,,,,,,,
TIME,Chrono.tech,780,12617287.784,USD,,,,,,,,
REEF,Reef,781,12549731.969937472,USD,,,,,,,,
PLU,Pluton,782,12909159.760922,USD,64530,17035,147,412,50,2.418550044027003,1972.85,USD
CRTS,Cratos,783,12291395.406063398,USD,,,,,,,,
DBC,DeepBrain Chain,784,11837830.487969501,USD,,,,,,,,
LAZIO,S.S. Lazio Fan Token,785,11954274.971533896,USD,,,,,,,,
DNX,Dynex,786,11965262.64425175,USD,,,,,,,,
MOTHER,Mother Iggy,787,12299374.64918518,USD,,,,,,,,
STC,SaitaChain Coin,788,11751939.419697069,USD,,,,,,,,
NTX,NuNet,789,11601004.48031,USD,,,,,,,,
DFI,DeFiChain,790,11312530.254228696,USD,,,,,,,,
PORTO,FC Porto Fan Token,791,11413925.478025204,USD,,,,,,,,
ROUTE,Router Protocol,792,11590066.690604,USD,,,,,,,,
ALPINE,Alpine F1 Team Fan Token,793,11210048,USD,,,,,,,,
MNW,Morpheus.Network,794,12240382.795527073,USD,,4910,,2,,,,
CWEB,Coinweb,795,11139000.699753234,USD,,,,,,,,
DVI,Dvision Network,796,11264933.45901,USD,,,,,,,,
BLOK,Bloktopia,797,11033471.10208824,USD,,,,,,,,
PIT,Pitbull,798,10612337.415128786,USD,,,,,,,,
USDJ,USDJ,799,10956828.083106054,USD,,,,,,,,
FLOCK,Flock.io,800,10979463.2762332,USD,,,,,,,,
UFO,UFO Gaming,801,11160757.575757464,USD,,,,,,,,
YFII,DFI.Money,802,10971298.959999999,USD,52559,11130,5,35,4,0.3144654088050315,984.77,USD
SDAO,SingularityDAO,803,11149953.8707352,USD,,,,,,,,
WAGMIGAMES,WAGMI Games,804,11288944.969049018,USD,,,,,,,,
CITY,Manchester City Fan Token,805,10688433.8418,USD,,,,,,,,
TAOCAT,TAOCat by Virtuals & Masa,806,11270600,USD,,,,,,,,
TRIAS,Trias Token (new),807,10480000,USD,,,,,,,,
HELLO,HELLO Labs,808,10532568.115338,USD,,,,,,,,
SOUL,Phantasma,809,10129563.175177362,USD,,,,,,,,
UNCX,UNCX Network,810,10482288.376272872,USD,,,,,,,,
KATA,Katana Inu,811,9788742.716877,USD,,,,,,,,
BCD,Bitcoin Diamond,812,9676743.488985265,USD,,,,,,,,
ZERC,zkRace,813,9651720,USD,,,,,,,,
RLY,Rally,814,9752687.530009834,USD,57711,20315,10,47,9,0.2313561407826729,1345.09,USD
OUSD,Origin Dollar,815,9482954.837072603,USD,,,,,,,,
MXC,Moonchain,816,9476884.88138,USD,,,,,,,,
ATM,Atletico De Madrid Fan Token,817,9210786.6816,USD,,,,,,,,
ASR,AS Roma Fan Token,818,9191220.6876,USD,,,,,,,,
WRX,WazirX,819,9047716.733270615,USD,,,,,,,,
SPS,Splintershards,820,8908752.22624668,USD,,,,,,,,
AURY,Aurory,821,8964818.034712,USD,,,,,,,,
MUBI,Multibit,822,8949380,USD,,,,,,,,
VITE,VITE,823,8777363.185367333,USD,16823,3874,0,0,0,0,2192.02,USD
MCB,MUX Protocol,824,8688232.5405,USD,11655,2398,0,5,0,0.2085070892410342,4954.46,USD
JUV,Juventus Fan Token,825,8624326.8624,USD,,,,,,,,
NWC,Newscrypto,826,8279866.69677573,USD,,,,,,,,
KP3R,Keep3rV1,827,8214438.96,USD,45938,9089,15,49,5,0.5391132137748927,1020.18,USD
WRLD,NFT Worlds,828,8166255.74622,USD,,,,,,,,
OPEN,Open Custody Protocol,829,8393122.7337732,USD,,,,,,,,
LUCE,LUCE,830,8105899.967576399,USD,,,,,,,,
STOS,Stratos,831,8212204.982100001,USD,,,,,,,,
JEWEL,DeFi Kingdoms,832,7924119.744235528,USD,,,,,,,,
GAL,Galatasaray Fan Token,833,7828917.096,USD,,,,,,,,
ACM,AC Milan Fan Token,834,7426078.31574,USD,,,,,,,,
GXA,GALAXIA,835,7393367.0521567995,USD,,,,,,,,
DC,Dogechain,836,7585826.7642446,USD,,,,,,,,
NEXA,Nexa,837,7352065.214000001,USD,,,,,,,,
MAGA,MAGA,838,7171397.469955841,USD,,,,,,,,
FITFI,Step App,839,7271979.000000001,USD,,,,,,,,
BUY,Buying.com,840,7148405.165310001,USD,,,,,,,,
PEPE20,Pepe 2.0,841,7297639.999999999,USD,,,,,,,,
MAN,Matrix AI Network,842,7141067.959409272,USD,,,,,,,,
KAI,KardiaChain,843,6988690,USD,,,,,,,,
IMGNAI,Image Generation AI,844,7159140.6302614,USD,,,,,,,,
KWENTA,Kwenta,845,6721540.263808,USD,,,,,,,,
KAN,BitKan,846,6870005.064246464,USD,59846,53083,0,2,1,0.003767684569447846,143.44,USD
SAITO,Saito,847,6929898.113229999,USD,,,,,,,,
XCHNG,Chainge,848,6758475.646896,USD,,,,,,,,
KAR,Karura,849,6898032.93916,USD,,,,,,,,
RVF,RocketX exchange,850,7150708.0854980005,USD,,,,,,,,
SDN,Shiden Network,851,6827220.388326052,USD,,,,,,,,
CULT,Cult DAO,852,6903859.0024487125,USD,,,,,,,,
TOMI,tomi,853,6628325.32349656,USD,,,,,,,,
INTER,Inter Milan Fan Token,854,6561375.54688,USD,,,,,,,,
PUSH,Push Protocol,855,6684899.059524,USD,,,,,,,,
HNS,Handshake,856,6690346.593023999,USD,,,,,,,,
HERO,Metahero,857,6515799.074923,USD,15397,,0,,0,0,0.913478,USD
CEL,Celsius,858,6280021.28039,USD,174199,30391,16,68,7,0.2237504524365766,3830.81,USD
STARL,Starlink,859,6484865.15188324,USD,82739,34640,9,68,19,0.19630484988452657,178.54,USD
HYDRA,Hydra,860,6192031.2540266,USD,,,,,,,,
SRM,Serum,861,6137286.2130660005,USD,,18243,,25,,,,
RIF,Rifampicin,862,6173334.849372107,USD,,,,,,,,
MEV,MEVerse,863,6378399.426774851,USD,,,,,,,,
APM,apM Coin,864,6007861.86448,USD,,,,,,,,
BAD,Bad Idea AI,865,6353876.87717063,USD,,,,,,,,
XCAD,XCAD Network,866,6070848.444154203,USD,,,,,,,,
IZI,Izumi Finance,867,5946602.28,USD,,,,,,,,
URO,Urolithin A,868,5998960.607815902,USD,,,,,,,,
POOLX,Poolz Finance,869,5893525.3511918,USD,,,,,,,,
CVP,PowerPool,870,5802495.287970584,USD,25362,4653,6,50,6,1.0745755426606491,2542.43,USD
CAPS,Ternoa,871,5770271.230063801,USD,,,,,,,,
FNCY,FNCY,872,5714154.882297898,USD,,,,,,,,
SOFI,RAI Finance,873,5720831.381258355,USD,,,,,,,,
BAX,BABB,874,5388082.514625,USD,44879,13835,1,8,1,0.05782435851102277,203.76,USD
KILT,KILT Protocol,875,5153037.9978,USD,,,,,,,,
IRIS,IRISnet,876,5256679.104349609,USD,,,,,,,,
CEUR,Celo Euro,877,4892080.795288967,USD,,,,,,,,
LLM,Large Language Model,878,4688887.621304,USD,,,,,,,,
FUSE,Fuse,879,4886001.643036079,USD,,,,,,,,
KEY,SelfKey,880,4804859.963534374,USD,62279,19553,5,30,7,0.15342914130823915,245.49,USD
GZONE,GameZone,881,4678361.124645378,USD,,,,,,,,
SIS,Symbiosis,882,4619905.4748720005,USD,,,,,,,,
CQT,Covalent,883,4537731.879876254,USD,,,,,,,,
AKITA,Akita Inu,884,4763169.953075475,USD,126606,60484,15,54,16,0.08927980953640632,127.03,USD
FEI,Fei USD,885,4538146.627460752,USD,22340,3079,5,16,1,0.5196492367651835,1456.9,USD
CENNZ,CENNZnet,886,4636920,USD,28342,,0,,0,0,945.8,USD
UNIBOT,Unibot,887,4199000,USD,34887,,5,,2,0.3451131971286582,538.41,USD
BTM,BytomDAO,888,4451210.955529403,USD,109691,25855,0,0,0,0,84.67,USD
VAL,Validity,889,4005877.8658635155,USD,,,,,,,,
MTRG,Meter Governance,890,3870299.16015,USD,,,,,,,,
FRED,First Convicted RACCON,891,3798447.4491167944,USD,,,,,,,,
GMM,Gamium,892,3666662.837189514,USD,,,,,,,,
CRU,Crust Network,893,3727492.3311599996,USD,26545,,15,,7,0.782122905027933,699.49,USD
BEER,BEERCOIN,894,3541562.551816176,USD,,,,,,,,
TSUKA,Dejitaru Tsuka,895,3579100,USD,,,,,,,,
UNFI,Unifi Protocol DAO,896,3327895.534097231,USD,16719,,1,,4,0.2906413485758574,764.73,USD
CPH,Cypherium,897,3302150.161167,USD,,,,,,,,
BTS,BitShares,898,3140919.4220000003,USD,,,,,,,,
VGX,VGX Token,899,3211458.7707642205,USD,93884,19670,0,0,0,0,0,USD
PRE,Presearch,900,3155614.2651385,USD,46577,12514,4,35,7,0.27968675083906025,553.7,USD
FRA,Findora,901,3227224.967883884,USD,,,,,,,,
OPTI,Optimus AI,902,3024201.828858,USD,,,,,,,,
DOME,Everdome,903,3071542.63530189,USD,,,,,,,,
BOND,BarnBridge,904,2997672.9978030976,USD,49769,14771,10,43,4,0.2911109606661702,206.03,USD
MDX,Mdex,905,2888085.5168234077,USD,,,,,,,,
NEST,NEST Protocol,906,2802466.19763156,USD,26837,6297,1,6,0,0.09528346831824679,1405.69,USD
RAI,Rai Reflex Index,907,2749232.6875053816,USD,15141,3175,10,24,1,0.7559055118110236,1217.89,USD
ORC,Orbit Chain,908,2672564.973256141,USD,,,,,,,,
COT,Cosplay Token,909,2638420.6378008,USD,,,,,,,,
REVV,REVV,910,2612384.1827700003,USD,,,,,,,,
FER,Ferro,911,2500113.8442209996,USD,,,,,,,,
LBC,LBRY Credits,912,2382797.360314621,USD,,,,,,,,
WOLF,LandWolf (SOL),913,2561329.8765827734,USD,,,,,,,,
ABBC,ABBC Coin,914,2372712.2199080805,USD,,,,,,,,
BSCPAD,BSCPAD,915,2345693.732673,USD,,,,,,,,
EPX,Ellipsis,916,2278683.730555638,USD,,,,,,,,
SPH,Spheroid Universe,917,2268125.7588678,USD,,,,,,,,
BITCI,Bitcicoin,918,2180287.93976596,USD,,,,,,,,
PKF,Red Kite,919,2063999.7096485405,USD,,,,,,,,
BBF,Bubblefong,920,2050922.211989,USD,,,,,,,,
BRICK,r/FortNiteBR Bricks,921,1988796.47664,USD,,,,,,,,
FOR,ForTube,922,2168998.5,USD,35649,22303,41,82,5,0.36766354302111826,90.61,USD
TABOO,TABOO TOKEN,923,2018655.621808,USD,,,,,,,,
DUST,DUST Protocol,924,1975178.27935,USD,,,,,,,,
COVAL,Circuits of Value,925,1998537.195585257,USD,,,,,,,,
AKRO,Akropolis,926,1891821.5966798963,USD,61550,18753,8,58,7,0.3092838479176665,322.43,USD
MLT,MILC Platform,927,1811232.3207580103,USD,,,,,,,,
VEXT,Veloce,928,1720023.767590473,USD,,,,,,,,
FSN,Fusion,929,1668296.360699684,USD,32726,8405,0,0,0,0,140.08,USD
OAX,OAX,930,1668180.9386580253,USD,23312,6776,1,4,2,0.05903187721369539,223.53,USD
GMMT,Giant Mammoth,931,1529082.6691096,USD,,,,,,,,
SOLVE,SOLVE,932,1455909.9645335001,USD,36167,13606,3,20,3,0.14699397324709687,141.55,USD
RMRK,RMRK,933,1557824.9669511986,USD,,,,,,,,
WSM,Wall Street Memes,934,1340913.494713556,USD,,,,,,,,
PLANET,PLANET,935,1335158.745,USD,,,,,,,,
TAMA,Tamadoge,936,1223350.1927498102,USD,,,,,,,,
AGLA,Angola,937,1165042.6800000002,USD,,,,,,,,
GFT,Gifto,938,1192870.2713921142,USD,,,,,,,,
VEGA,Vega Protocol,939,1054553.072468,USD,,,,,,,,
WOZX,Efforce,940,1154690.3552237952,USD,,,,,,,,
HVH,HAVAH,941,1112666.0118468,USD,,,,,,,,
OOKI,Ooki Protocol,942,1098528.156,USD,,,,,,,,
YOOSHI,YooShi,943,1050309.7120881916,USD,,,,,,,,
ZKB,ZKBase,944,937425.376,USD,,,,,,,,
MULTI,Multichain,945,899584.7532935545,USD,10164,4011,15,53,9,1.3213662428322115,28867.09,USD
SSG,SOMESING,946,767190.3303896,USD,,,,,,,,
RBLS,Rebel Bots,947,691526.3210665,USD,,,,,,,,
GRV,Grove Coin,948,668274.2033805001,USD,,,,,,,,
NVIR,NvirWorld,949,484039.70780858,USD,,,,,,,,
THN,Throne,950,476209.8438531,USD,,,,,,,,
HSF,Hillstone Finance,951,453653.395636,USD,,,,,,,,
WAIT,Hourglass,952,397752.79622814554,USD,,,,,,,,
DREP,Drep [new],954,289930,USD,,,,,,,,
VTS,Veritise,955,329271.6145048,USD,,,,,,,,
PNT,pNetwork,956,279191.41080486716,USD,,10033,,5,,,,
PERL,PERL.eco,957,186954.44555548,USD,10525,2512,0,0,0,0,192.25,USD
CVTX,Carrieverse,958,175838.3638008,USD,,,,,,,,
ORB,OrbCity,959,155623.6773368823,USD,,,,,,,,
KALM,KALM,960,139330.80000000002,USD,,,,,,,,
PTS,Petals,961,40952.612499999996,USD,,,,,,,,
EVA,Evadore,962,26570.644924,USD,,,,,,,,
FTM,Fantom,,,,381026,95260,84,285,67,0.29918118832668483,10364.36,USD
1000SATS,1000SATS,,,,,,,,,,,